"","data_source","authority","operator","facility_name","facility_id1","facility_id2","address1","address2","street_addres","locality","postal_code","description","type_use","commodity","storage_capacity","berth_description","keywords","website","long_dd","lat_dd"
"94","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Gibson's Landing Harbour Authority","DFO Small Craft Harbour","Gibsons",277,363,"Gibsons, BC","PO Box 527, Gibsons, BC  V0N 1V0","","Gibsons","V0N 1V0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, storage, fuel sales, restroom facilities, pay phone","wharf and floats, breakwater derrick","Gibsons; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.504495,49.400648
"95","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Squitty Bay",278,521,"Lasqueti Island, BC","Lasqueti Island, BC","","Lasqueti Island","","Harbour","Recreational","recreational harbour","moorage","wharf and floats","Squitty Bay; Lesqueti Island; Harbour; Recreational; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.1658137,49.4526485
"96","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia","Harbour Authority of Deep Bay","DFO Small Craft Harbour","Deep Bay",279,241,"164 Burne Rd, Bowser, BC","164 Burne Rd, Bowser, BC","164 Burne Rd","Bowser","V0R 1G0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, storage, fuel sales, restroom facilities, laundry, pay phone","wharf and floats, breakwater derrick","Deep Bay; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.727971,49.4647361
"97","Harbour Authority of British Columbia; BC Ports Handbook 2014","Powell River Harbour Authority","Construction Aggregates Ltd","Construction Aggregates Marine Terminal",280,205,"Sechelt, BC","PO Box 1790, 5784 Inlet Rd, Sechelt, BC  V0N 3A0","","Sechelt","V0N 3A0","Terminal","Bulk","construction aggregate","N/A","Terminal extends 400 m from shore with traveling shiploader","Sechelt; Aggregates; Strait of Georgia; Terminal","http://www.manta.com/ic/mv57760/ca/construction-aggregates-ltd",-123.7487167,49.4676916
"98","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia","Ford Cove Harbour Authority","DFO Small Craft Harbour","Ford Cove",281,375,"10800a Central Rd, Hornby Island, BC","10800a Central Rd, Hornby Island, BC","10800a Central Rd","Hornby Island","V0R 1Z0","Port","Fishing","fish, core fishing harbour","moorage, hydro, lights, garbage, parking, lights, restroom facilities, pay phone, fuel sales","wharf and floats, breakwater derrick","Ford Cove; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.67646,49.49721
"99","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Corporation of the District of Sechelt","DFO Small Craft Harbour","Porpoise Bay",282,495,"Sechelt, BC","Box 129, 5797 Cowrie St, Sechelt, BC  V0N 3A0","","Sechelt","V0N 3A0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout","wharf and floats, derrick, launch, and plane float","Porpoise Bay; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.758292,49.483168
"100","Department of Fisheries and Oceans Small Craft Harbours","Fanny Bay Harbour Authority","DFO Small Craft Harbour","Fanny Bay",283,503,"7366 Island Way, Fanny Bay, BC","7366 Island Way, Fanny Bay, BC","7366 Island Way","Fanny Bay","V0R 1W0","Port","Fishing","fish, core fishing harbour","moorage, hydro, lights, parking, lights, pay phone","wharf and floats, breakwater","Fanny Bay; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc",-124.8153969,49.5059404
"101","Howe Sound Pulp and Paper Ltd.; BC Ports Handbook 2014","Transport Canada","Howe Sound Pulp and Paper","Howe Sound Pulp and Paper",284,471,"3830 Port Mellon Hwy, Port Mellon, BC","3830 Port Mellon Hwy, Port Mellon, BC","3830 Port Mellon Hwy","Port Mellon","V0N 2S0","Terminal","Bulk","kraft pulp and newsprint","2045 sq m on dock, 5200 sq m in shed (500 feet)","length 189 m, depth 10.67 m (@ zero tide)","Port Mellon; Howe Sound; Terminal; Pulp; Paper; South Coast","http://www.hspp.ca/",-123.4838242,49.520737
"102","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Secret Cove",285,207,"Halfmoon Bay, BC","Halfmoon Bay, BC","","Halfmoon Bay","","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats","Secret Cove; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.9649905,49.5340839
"103","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Pender Harbour","DFO Small Craft Harbour","Whiskey Slough (Pender Harbour)",286,417,"Madeira Park, BC","PO Box 118, Maderia Park, BC  V0N 2H0 PO Box 118, Madiera Park, BC V0N 2H0","","Madeira Park","V0N 2H0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking","floats","Pender Harbour; Whiskey Slough; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.043736,49.616204
"104","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Pender Harbour","DFO Small Craft Harbour","Madeira Park (Pender Harbour)",287,519,"Madeira Park, BC","PO Box 118, Maderia Park, BC  V0N 2H0","","Madeira Park","V0N 2H0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, restroom facilities, security, pay phone, laundry pumpout","wharf and floats, launch, derrick and plane float","Maderia Park; Pender Harbour; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.025432,49.622739
"105","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Pender Harbour","DFO Small Craft Harbour","Hospital Bay",288,283,"Garden Bay, BC","PO Box 118, Maderia Park, BC  V0N 2H0","","Garden Bay","V0N 2H0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights","dock and floats","Hospital Bay; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.031694,49.632031
"106","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Comox Valley Harbour Authority","DFO Small Craft Harbour","Comox",289,517,"Comox, BC","PO Box 1258, 121 Port Augusta Ave, Comox, BC  V9M 3N8","","Comox","V9M 3N8","Port","Fishing ","fish, core fishing harbour","moorage, fuel sales, water, lights, garbage, restroom facilities, laundry, parking, security, pumpout, pay phone","wharf and floats, breakwater derrick","Comox; Vancouver Island; Port; Fishing; Small Craft Harbour; Marina","http://www.haa.bc.ca/harbour/comox",-124.9277838,49.6701536
"107","Green Island Energy; BC Ports Handbook 2014","Not available","Green Island Energy","Gold River Terminal",290,321,"Gold River, BC","Gold River, BC","","Gold River","","Terminal","Energy","thermal power","2 deep sea docks, 2 barge ramps, 300,000 square feet of covered warehouse space, 40 acres of paved open storage","Berth #1: length 202 m x 22 m wide, depth 11 m; Berth #2 length 166 m x 20 m wide, depth 11 m","Gold River; Terminal; Private Port; Muchalat Inlet","http://www.kingstoncorp.com/green_island.cfm",-126.1248372,49.6787209
"108","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Comox Valley Harbour Authority","DFO Small Craft Harbour","Courtenay Slough",291,473,"Courtenay, BC","PO Box 1258, 121 Port Augusta Ave, Comox, BC  V9M 3N8","","Courtenay","V9M 3N8","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, restroom facilities, pay phone","wharf and floats","Courtenay Slough; Fishing; Core; Vancouver Island","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc#PA052",-124.9926889,49.6931006
"109","BC Ports Handbook 2014; Lafarge Canada","Powell River Harbour Authority","Lafarge","Texada Quarrying Marine Terminal",292,543,"Van Anda, BC","PO Box 160, Van Anda, BC  V0N 3K0","","Van Anda","V0N 3K0","Terminal","Bulk","limestone","N/A","depth 14.0 m","Texada; Quarry; Terminal; Strait of Georgia","http://www.lafarge-na.com/wps/portal/na/en/6_4_A_1-EnvironmentDetail?WCM_GLOBAL_CONTEXT=/wps/wcm/connectlib_na/Site_na/AllCS/Env/Biodiversity/CS20110609b/CSEN",-124.5515135,49.700477
"110","British Columbia Harbour Authority; BC Ports Handbook 2014; Squamish Terminals Ltd.","Squamish Harbour  Authority","Squamish Terminals Ltd","Squamish Terminals Ltd",293,403,"37500 3rd Ave, Squamish, BC","37500 3rd Ave, Squamish, BC","37500 3rd Ave","Squamish","V8B 0B1","Terminal","Bulk and Cargo","steel, lumber, wood pulp, general cargo","3 covered warehouses occupy 47,410 sq m (direct truck and rail access)","East Berth: length 137 m, depth 11.7 m; West berth: length 152 m, depth 12 m","Squamish; Terminal; Howe Sound; Steel; Lumber; Cargo","http://www.sqterminals.com/",-123.1740546,49.6848942
"111","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Squamish","DFO Small Craft Harbour","Squamish",294,239,"Squamish, BC","PO Box 97, Squamish, BC  V8B 0A1","","Squamish","V8B 0A1","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone, restroom facilities, pumpout","wharf and floats, derrick","Squamish; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.154476,49.69461
"112","Department of Fisheries and Oceans Small Craft Harbours","Egmont Harbour Authority","DFO Small Craft Harbour","Egmont",295,323,"Egmont, BC","General Delivery, Egmont, BC  V0N 1N0","","Egmont","V0N 1N0","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats","Egmont; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc",-123.929204,49.749905
"113","Department of Fisheries and Oceans Small Craft Harbours","Saltery Bay Harbour Authority","DFO Small Craft Harbour","Saltery Bay",296,505,"Saltery Bay, BC","C-17 Saltery Bay RR #3, Powell River, BC  V8A 5C1","","Saltery Bay","V8A 5C1","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats","Saltery Bay; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.1764806,49.7821194
"114","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Corporation of the District of Powell River","DFO Small Craft Harbour","Powell River South",297,451,"6910 Duncan St, Powell River, BC","6910 Duncan St, Powell River, BC","6910 Duncan St","Powell River","V8A 1V4","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone, restroom facilities, storage, fuel sales","wharf and floats, derrick, launch, breakwater","Powell River; Port; Fishing; Core; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.5296384,49.8352734
"115","Catalyst Paper; BC Ports Handbook 2014; Harbour Authority of British Columbia","The Corporation of the District of Powell River","Catalyst Paper Corporation","Powell River Paper Dock",298,381,"6270 Yew St, Powell River, BC","6270 Yew St, Powell River, BC","6270 Yew St","Powell River","V8A 4K1","Terminal","Pulp and Paper","pulp and paper","Barge ramp for loading from warehouse storage","Scowberth: #1 length 145 m; #2 length 148 m, minimum depth alongside 9.5 m","Paper; Powell River; Terminal; Strait of Georgia","http://www.catalystpaper.com/",-124.5563443,49.8692526
"116","Harbour Authority of British Columbia; City Transfer; BC Ports Handbook 2014","The Corporation of the District of Powell River","City Transfer","Powell River Municipal Barge",299,421,"6910 Duncan St, Powell River, BC","6910 Duncan St, Powell River, BC","6910 Duncan St","Powell River","V8A 1V4","Terminal","Bulk","lumber, gravel, goods","N/A","1 public barge ramp with 99,000 gvw and 2 beach ramps","Powell River; Terminal; Barge; Strait of Georgia; Lumber; gravel","http://www.citytransfer.com/",-124.5582166,49.8696258
"117","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Zebellos Harbour Authority","DFO Small Craft Harbour","Zebellos",300,485,"Zeballos, BC","PO Box 99, 125 Maquinna Ave, Zebellos, BC  V0P 2A0","","Zeballos","V0P 2A0","Port","Fishing","fish, core fishing harbour","moorage, hydro, garbage, lights, parking, pay phone, restroom facilities","wharf and floats, launch","Zebellos; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-126.843678,49.97922
"118","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Lund Harbour Authority","DFO Small Craft Harbour","Lund",301,253,"Lund, BC","PO Box 113, Lund, BC  V0N 2G0","","Lund","V0N 2G0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, storage, restroom facilities, security, pumpout","wharf and floats, breakwater, launch, derrick","Lund; Delta; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.7625537,49.9822745
"119","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia","Lund Harbour Authority","DFO Small Craft Harbour","Finn Bay",302,397,"Lund, BC","PO Box 65, Lund, BC  V0N 2G0","","Lund","V0N 2G0","Port","Fishing ","fish, core fishing harbour","Hydro","floats","Finn Bay; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.769189,49.985108
"120","Department of Fisheries and Oceans Small Craft Harbours","Okeover Harbour Authority","DFO Small Craft Harbour","Okeover Inlet",303,343,"Lund, BC","10100 Malaspina Rd, Powell River, BC  V8A 0G3","","Lund","V8A 0G3","Port","Fishing ","fish, core fishing harbour","moorage, hydro, lights, pay phone, security","wharf and floats, derrick, breakwater","Okeover Inlet; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.7115871,49.9911887
"121","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Campbell River Harbour Authority","DFO Small Craft Harbour","Campbell River",304,541,"705 Island Hwy, Campbell River, BC","705 Island Hwy, Campbell River, BC","705 Island Hwy","Campbell River","V0N 1A0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, lights, garbage, water, storage, pay phone, pumpout, parking, restroom facilities","wharf and floats, launch, plane float, derrick, breakwater","Campbell River; Yaculta Bank.; Fishing; Port; Small Craft Harbour; Marina","http://www.haa.bc.ca/harbour/campbell-river",-125.2379068,50.0224099
"122","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Cape Mudge",305,261,"Quathiaski Cove, BC","Quathiaski Cove, BC","","Quathiaski Cove","V0P 1N0","Port","Fishing ","fish, non-core fishing harbour","moorage","wharf and floats","Cape Mudge; Quathiaski Cove; Quadra Island; Harbour; Fishing; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.197536,50.023342
"123","Harbour Authority of British Columbia; BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Discovery Harbour Authority","DFO Small Craft Harbour","Campbell River (Discovery Harbour)",306,535,"Campbell River, BC","Box 73, Stn. A, Campbell River, BC  V9W 4Z9","","Campbell River","V9W 4Z9","Harbour","Fishing ","fish, core fishing harbour","moorage, hydro, lights, garbage, water, storage, pay phone, pumpout,  parking, restroom facilities","wharf and floats, breakwater derrick","Campbell River; Discovery Harbour; Fishing; Port; Small Craft Harbour; Marina","http://www.haa.bc.ca/harbour/discovery-harbour",-125.243477,50.035753
"124","Wei Wai Kum First Nation; BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities","Discovery Harbour Authority","Campbell River Indian band Economic Development","Wei Wai Kum Cruseship Terminal",307,393,"1400 Weiwaikum Rd, Campbell River, BC","1400 Weiwaikum Rd, Campbell River, BC","1400 Weiwaikum Rd","Campbell River","V9W 5W8","Terminal","Cruiseship","passengers","N/A","Max ship length 310 m","Campbell River; Weo Wai Kum; Cruiseship; Terminal","http://www.crband.ca/discovery-harbour-marina-campbell-river",-125.2431037,50.039666
"125","Wei Wai Kum First Nation; BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities","Discovery Harbour Authority","Westmin Resources","Discovery Terminal (Boliden Dock)",308,331,"Campbell River, BC","Box 8000, 2451 Spit Rd Campbell River, BC  V9W 5E2","","Campbell River","V9W 5E2","Terminal","Bulk","zinc, copper and gold","N/A","length 122 m, depth 10.3 m","Discovery; Terminal; Zinc; Copper; Gold; Campbell River","http://www.crband.ca/",-125.2472895,50.042131
"126","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Quadra Island Harbour Authority","DFO Small Craft Harbour","Quathiaski Cove",309,487,"Quathiaski Cove, BC","730 Quathiaski Rd, PO Box 162, Quathiaski Cove, BC  V0P 1N0","","Quathiaski Cove","V0P 1N0","Port","Fishing","fish, core fishing harbour","moorage, hydro, garbage, lights, pay phone, restroom facilities, parking, laundry, water","wharf and floats, derrick, launch","Quathiaski Cove; Quadra Island; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.2166,50.0425417
"127","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Harbour Authority of Cortes Island ","DFO Small Craft Harbour","Cortes Bay",310,307,"Cortes Island, BC","PO Box 243, Manson's Landing, BC  V0P 1K0","","Cortes Island","V0P 1K0","Harbour","Recreational","recreational","moorage, hydro, lights, garbage, pay phone","wharf and floats, plane float","Cortes Bay; Cortes Island; Harbour; Recreation; Small Craft Harbour; Marina","http://www.haa.bc.ca/harbour/cortes-bay",-124.933211,50.062314
"128","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Cortes Island","DFO Small Craft Harbour","Mansons Landing",311,369,"Cortes Island, BC","PO Box 329, Manson's Landing, BC  V0P 1K0","","Cortes Island","V0P 1K0","Port","Fishing","fish, core fishing harbour","moorage, hydro, garbage, lights, pay phone","wharf and floats, derrick and plane float","Maderia Park; Pender Harbour; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.9835559,50.0717526
"129","Department of Fisheries and Ocean Harbour Authorities; BC Ports Handbook 2014","Campbell River Harbour Authority","Transport Canada - Harbours and Ports","Duncan Bay Barge Terminal",312,547,"5951 Duncan Bay Rd, Campbell River, BC","5951 Duncan Bay Rd, Campbell River, BC","5951 Duncan Bay Rd","Campbell River","V9H 1N6","Terminal","Bulk","coal","moves 500,000 tonnes of coal per year","3 Barge slips for loading and off-loading","Duncan Bay; Barge; Terminal; Campbell River ","http://campbell-river.cylex.ca/company/duncan-bay-barge-terminal-23379555.html",-125.3063406,50.0888109
"130","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Cortes Island","DFO Small Craft Harbour","Gorge Harbour",313,383,"Whaletown, BC","PO Box 329, Manson's Landing, BC  V0P 1K0","","Whaletown","V0P 1K0","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats","Gorge Harbour; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.020607,50.099538
"131","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Quadra Island Harbour Authority","DFO Small Craft Harbour","Heriot Bay",314,531,"Quathiaski Cove, BC","730 Quathiaski Rd, PO Box 162, Quathiaski Cove, BC  V0P 1N0","","Quathiaski Cove","V0P 1N0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, storage, restroom facilities, pay phone","wharf and floats, float plane dock, launch and derrick","Heriot Bay; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.212884,50.102536
"132","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Cortes Island","DFO Small Craft Harbour","Squirrel Cove",315,431,"Cortes Island, BC","PO Box 329, Manson's Landing, BC  V0P 1K0","","Cortes Island","V0P 1K0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, pay phone","wharf and floats, derrick","Squirrel Cove; Cortes Island; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.911467,50.118697
"133","BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities","Not available","Port Alice Specialty Cellulose Inc","Port Alice (Western Pulp)",316,327,"Port Alice, BC","PO Box 2000, 300 Marine Dr, Port Alice, BC  V0N 2N0","","Port Alice","V0N 2N0","Terminal","Forest Products","bleached sulphite woodpulp","Outside storage space of 1393 sq m and shed space of 4515 sq m by 7.3 clear height","length 172 m, depth 9.1 m","Port Alice; Terminal; Woodpulp ","http://www.neucel.com/",-127.4529487,50.3824783
"134","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Sayward","DFO Small Craft Harbour","Kelsey Bay",317,445,"Sayward, BC","PO Box 43, Sayward, BC  V0P 1R0","","Sayward","V0P 1R0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, pay phone, parking","wharf and floats, breakwater, derrick","Kelsey Bay; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.9604209,50.3964088
"135","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Shoal Bay (East Thurlow Island)",318,297,"Thurlow Islands, BC","Thurlow Islands, BC","","Thurlow Islands","","Harbour","Recreational","recreational harbour","moorage","wharf and floats","Shoal Bay; East Thurlow Island; Harbour; Recreational; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.366407,50.458105
"136","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Winter Harbour Authority ","DFO Small Craft Harbour","Winter Harbour - Wharf and Floats",319,293,"Winter Harbour, BC","General Delivery, Winter Harbour, BC  V0N 3L0","","Winter Harbour","V0N 3L0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone, restroom facilities","wharf and floats, derrick, plane float","Winter Harbour; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-128.029181,50.512911
"137","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Alert Bay Harbour Authority ","DFO Small Craft Harbour","Alert Bay",320,215,"Alert Bay, BC","Bag Service 2800, Alert Bay, BC  V0N 1A0","","Alert Bay","V0N 1A0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, parking, light, storage ","wharf and floats, breakwater, derrick, plane float","Alert Bay; Port; Malcolm Island; Fishing; Small Craft Harbour; Marina","http://www.haa.bc.ca/harbour/alert-bay",-126.93066,50.588375
"138","Polaris Materials; BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities","The Corporation of the District of Port McNeill","Polaris Materials","Orca Quarry Marine Terminal",321,469,"6505 Island Hwy, Port McNeill, BC","6505 Island Hwy, Port McNeill, BC","6505 Island Hwy","Port McNeill","V0N 2R0","Terminal","Bulk","construction aggregates","Ship loading facility capable of loading vessels with a capacity of up to 70,000 tonnes","Total length 213 m, depth 15 m","Port McNeill; Aggregates; Terminal; Orca; Quarry ","http://www.polarismaterials.com/operations-projects/orca-quarry/",-127.0516182,50.5895834
"139","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Corporation of the District of Port McNeill","DFO Small Craft Harbour","Port McNeill",322,459,"Port McNeill, BC","Box 1389, 1775 Grenville Place, Port McNeill, BC  V0N 2R0","","Port McNeill","V0N 2R0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, storage, fuel sales, restroom facilities, laundry, pay phone, fuel sales","wharf and floats, breakwater, launch, plane float and derrick","Port McNeill; Port; Fishing; Core; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-127.0886892,50.5914417
"140","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Minstrel Island - Wharf and Floats",323,455,"Minstrel Island, BC","Minstrel Island, BC","","Minstrel Island","","Harbour","Recreational","recreational","moorage","wharf and floats","Minstrel Island; Harbour; Recreational; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-126.3054136,50.6134301
"141","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Malcolm Island Lions Club","DFO Small Craft Harbour","Mitchell Bay",324,391,"Sointula, BC","PO Box 202, Sointula, BC  V0N 3E0","","Sointula","V0N 3E0","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats","Malcolm Island; Core; Mitchell Bay; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-126.851138,50.630395
"142","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Malcolm Island Lions Club","DFO Small Craft Harbour","Sointula",325,453,"Sointula, BC","Malcolm Island Lions Club, 710 1st St, PO Box 202, Sointula, BC  V0N 3E0","","Sointula","","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, storage, fuel sales, restroom facilities, laundry, pay phone","wharf and floats, derrick, breakwater, plane float","Sointula; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-127.030367,50.640835
